sex,education,Female,Male
0,0.7647058823529411,1,0
0,0.6470588235294118,1,0
1,0.5294117647058824,0,1
1,0.7647058823529411,0,1
0,0.7058823529411764,1,0
0,1.0,1,0
0,0.5294117647058824,1,0
0,0.2352941176470588,1,0
1,0.5294117647058824,0,1
1,0.2352941176470588,0,1
1,0.8235294117647058,0,1
0,0.5294117647058824,1,0
1,0.1176470588235294,0,1
1,0.2941176470588235,0,1
1,0.5294117647058824,0,1
1,0.6470588235294118,0,1
1,0.5294117647058824,0,1
0,1.0,1,0
1,0.8823529411764706,0,1
1,0.8235294117647058,0,1
1,0.2352941176470588,0,1
0,0.2352941176470588,1,0
1,0.2352941176470588,0,1
0,0.0,1,0
1,0.1176470588235294,0,1
1,0.2352941176470588,0,1
1,0.1764705882352941,0,1
1,0.2352941176470588,0,1
