age,sex,education
13,1,0.35000000000000003
14,0,0.4
15,1,0.45
15,1,0.45
15,1,0.45
15,1,0.45
16,0,0.5
16,1,0.5
16,0,0.5
17,0,0.55
15,1,0.45
16,0,0.5
16,0,0.5
15,1,0.45
16,1,0.5
15,1,0.45
17,1,0.55
16,1,0.5
16,0,0.5
24,1,0.45
37,1,0.45
21,0,0.6000000000000001
24,1,0.8500000000000001
18,1,0.6000000000000001
26,1,0.6000000000000001
18,0,0.65
40,0,0.45
25,1,0.8
54,1,0.30000000000000004
33,0,0.6000000000000001
46,0,0.45
25,1,0.75
19,0,0.6000000000000001
18,1,0.45
31,0,0.8500000000000001
18,1,0.7000000000000001
24,1,0.75
28,1,0.8500000000000001
24,1,0.8500000000000001
27,0,0.75
27,0,0.8500000000000001
19,1,0.65
19,1,0.65
40,0,1.0
41,1,0.30000000000000004
27,0,0.8
24,1,0.8500000000000001
20,0,0.7000000000000001
42,0,0.30000000000000004
22,0,0.45
20,0,0.7000000000000001
25,0,0.9500000000000001
22,0,0.8
25,1,0.9500000000000001
18,0,0.7000000000000001
61,0,0.2
53,0,0.2
65,1,0.1
53,0,0.45
77,0,0.2
64,1,0.0
56,0,0.45
55,0,0.8
62,0,0.2
68,1,0.2
62,1,0.2
57,0,0.2
68,0,0.2
58,0,0.2
70,1,0.2
69,1,0.1
71,1,0.15000000000000002
72,0,0.6000000000000001
56,1,0.35000000000000003
59,0,0.35000000000000003
73,0,0.6000000000000001
68,1,0.2
58,1,0.2
59,1,0.2
71,1,0.0
51,0,0.6000000000000001
62,0,0.45
76,0,0.2
63,1,0.2
69,0,0.6000000000000001
66,1,0.2
69,1,0.2
79,0,0.8500000000000001
63,0,0.8500000000000001
64,0,0.45
69,1,0.2
52,1,0.6000000000000001
76,1,0.6000000000000001
68,0,0.8500000000000001
57,1,0.2
58,0,0.2
71,1,0.2
55,0,0.30000000000000004
74,0,0.2
69,0,0.2
65,0,0.2
51,0,0.45
71,1,0.2
58,0,0.6000000000000001
63,0,0.15000000000000002
76,1,0.15000000000000002
74,0,0.2
77,1,0.2
67,0,0.2
55,0,0.2
76,1,0.15000000000000002
69,0,0.2
